"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"188";"NO: not eligible: age";0,187362130694714;0,203950933506912;0,405645609047246;0,467637605394646;1499;0,304725315753979;107;0;0
"189";"NO: not eligible: citizenship";0,171926049456337;0,203357637464916;0,390209527808869;0,467044309352651;1499;0,307696350907868;56;0;0
"190";"NO: not eligible: other";0,194161666707015;0,223646816021316;0,412445145059547;0,48733348790905;1499;0,755048746109128;5;0;0
"191";"NO: Other";0,193473055582614;0,230394406865073;0,411756533935146;0,494081078752807;1499;0,564441704088386;25;0;0
"192";"NO: Progress Party (FRP)";0,124642954059174;0,133814374895511;0,342926432411706;0,397501046783245;1499;0,258649120464793;120;1;0
"193";"NO: Refusal";0,19689728146066;0,221197052410746;0,415180759813192;0,484883724298481;1499;0,628576695316133;27;0;0
"194";"NO: Socialist Left Party (SV)";0,217586208114443;0,261993569711227;0,435869686466975;0,525680241598961;1499;0,247616227534091;60;0;1
"195";"PT: B.E. - Bloco de Esquerda";0,177982529881553;0,207291713181033;0,263705487448608;0,344208461467128;1127;0,233307469609639;59;0;1
"196";"PT: Blank";0,173302924342074;0,196148174182303;0,259025881909128;0,333064922468397;1127;-0,0715881762029385;28;0;0
"197";"PT: did not vote";0,173508888668462;0,189767319154594;0,259231846235516;0,326684067440689;1127;0,183941755099403;253;0;0
"198";"PT: Don't know";0,151178060275504;0,181445663486288;0,236901017842559;0,318362411772383;1127;0,0459414974927577;46;0;0
"199";"PT: MPT - Partido da Terra";0,18002997927223;0,208588021764778;0,265752936839285;0,345504770050873;1127;1;2;0;1
"200";"PT: not eligible: age";0,185151627009937;0,219871484031887;0,270874584576991;0,356788232317982;1127;0,368812953276701;33;0;0
"201";"PT: not eligible: citizenship";0,182381180281458;0,220379907679533;0,268104137848512;0,357296655965628;1127;0,682651934824597;9;0;0
"202";"PT: not eligible: other";0,167227561460567;0,196632122959199;0,252950519027621;0,333548871245294;1127;0,153071383762635;7;0;0
"203";"PT: Other";0,172001330272606;0,206041242766282;0,257724287839661;0,342957991052377;1127;0,135135417130271;12;0;0
"204";"PT: PAN - Pessoas-Animais-Natureza";0,172109741266105;0,209524520302707;0,257832698833159;0,346441268588802;1127;0,280579289487236;11;0;1
"205";"PT: PCP-PEV - CDU - Coligação Democrática Unitária";0,170426997070938;0,188401522732515;0,256149954637992;0,325318271018609;1127;0,112417170008071;55;0;0
"206";"PT: PPD-PSD/CDS-PP - Portugal à Frente";0,159710091989594;0,189197546472044;0,245433049556648;0,326114294758139;1127;0,205108554202859;269;0;0
"207";"PT: PS - Partido Socialista";0,155013867956183;0,18196260940229;0,240736825523237;0,318879357688385;1127;0,173844187929249;256;0;0
"208";"PT: Refusal";0,166281332236486;0,1869014284832;0,25200428980354;0,323818176769295;1127;0,190598980407734;87;0;0
"209";"SE: Centern";0,161231296572074;0,187498178625159;0,334594271275665;0,39170995750884;1346;0,234435285053906;68;0;0
"210";"SE: did not vote";0,165168632471107;0,186331279177857;0,338531607174698;0,390543058061538;1346;0,181056057292379;81;0;0
"211";"SE: Don't know";0,16499996051479;0,194723618627222;0,338362935218381;0,398935397510903;1346;0,357777499935371;60;0;0
"212";"SE: FI (Feministiskt initiativ)";0,231687633950591;0,278866759673885;0,405050608654181;0,483078538557565;1346;0,129812898849087;27;0;1
"213";"SE: Folkpartiet liberalerna";0,145859311140605;0,171365973547827;0,319222285844196;0,375577752431508;1346;0,0590769333496777;68;0;0
"214";"SE: Kristdemokraterna";0,195873268735387;0,220260344162379;0,369236243438977;0,424472123046059;1346;0,283355512357195;39;0;0
"215";"SE: Miljöpartiet de gröna";0,216960707268746;0,266292065503909;0,390323681972337;0,47050384438759;1346;0,302094172846427;82;0;1
"216";"SE: Moderata samlingspartiet";0,155175735783869;0,167991647082985;0,32853871048746;0,372203425966666;1346;0,177207598942515;294;0;0
"217";"SE: not eligible: age";0,181668843003456;0,200171571336292;0,355031817707047;0,404383350219972;1346;0,15705660620536;50;0;0
"218";"SE: not eligible: citizenship";0,18396997530542;0,214385618810971;0,357332950009011;0,418597397694652;1346;0,0566912858454159;17;0;0
"219";"SE: not eligible: other";0,191664780337227;0,223212446071222;0,365027755040817;0,427424224954903;1346;0,947072050413157;4;0;0
"220";"SE: Other";0,172648981613111;0,199942046269594;0,346011956316702;0,404153825153275;1346;0,295366599505289;9;0;0
"221";"SE: Piratpartiet";0,160539226843337;0,186679977578046;0,333902201546928;0,390891756461727;1346;0,73330860881982;3;0;0
"222";"SE: Refusal";0,174044999480225;0,201976030226749;0,347407974183816;0,40618780911043;1346;0,596624919930669;16;0;0
"223";"SE: Socialdemokraterna";0,145615148520306;0,177665403700393;0,318978123223897;0,381877182584074;1346;0,172294093216911;367;0;0
"224";"SE: Sverigedemokraterna";0,0655656686072649;0,067546207862067;0,238928643310856;0,271757986745748;1346;0,0425660025965399;86;1;0
"225";"SE: Vänsterpartiet";0,240573371876633;0,282273764133479;0,413936346580224;0,486485543017159;1346;0,38682546484465;75;0;1
"226";"SI: DESUS - Demokraticna stranka upokojencev Slovenije";0,175133251601712;0,194561066991259;0,261418168549283;0,303661706894969;1148;0,106546533530369;58;0;0
"227";"SI: did not vote";0,124099376278286;0,144511490951799;0,210384293225856;0,253612130855509;1148;-0,0573199485554571;296;0;0
"228";"SI: Don't know";0,160124204968152;0,185925696725852;0,246409121915722;0,295026336629562;1148;0,0812522729881484;125;0;0
"229";"SI: not eligible: age";0,194707953064805;0,232443786961715;0,280992870012375;0,341544426865426;1148;0,245645105237943;70;0;0
"230";"SI: not eligible: citizenship";0,188397525351661;0,21891200137094;0,274682442299231;0,328012641274651;1148;0,356219783823702;9;0;0
"231";"SI: not eligible: other";0,16835229431119;0,189563182968532;0,25463721125876;0,298663822872242;1148;1;2;0;0
"232";"SI: NSI - Nova Slovenija – Kršcanski demokrati";0,183008130318703;0,208652907059946;0,269293047266273;0,317753546963656;1148;0,161401195122588;37;0;0
"233";"SI: Other";0,181798872441195;0,216335622544777;0,268083789388765;0,325436262448488;1148;0,137693166091293;24;0;0
"234";"SI: PS - Pozitivna Slovenija";0,195235311530825;0,228130207849849;0,281520228478395;0,337230847753559;1148;-0,219101115337835;14;0;0
"235";"SI: Refusal";0,158185130873259;0,188897450349089;0,244470047820829;0,2979980902528;1148;0,190264137702808;56;0;0
"236";"SI: SD - Socialni demokrati";0,171768497842013;0,199638140454921;0,258053414789583;0,308738780358631;1148;-0,0379519064412674;74;0;0
"237";"SI: SDS - Slovenska demokratska stranka";0,146085458776794;0,166743594879728;0,232370375724364;0,275844234783438;1148;-0,00480084947132403;122;1;0
"238";"SI: SLS  - Slovenska ljudska stranka";0,132105301374643;0,148479549036296;0,218390218322213;0,257580188940006;1148;0,126535720093643;19;0;0
"239";"SI: SMC - Stranka Mira Cerarja";0,173688438706958;0,198303041772963;0,259973355654529;0,307403681676673;1148;0,0490679366176624;216;0;0
"240";"SI: ZL - Združena levica (DSD, IDS in Stranka TRS)";0,196460777550194;0,235290538224589;0,282745694497764;0,344391178128299;1148;-0,363023791482385;26;0;1
