"";"voting.group";"slope_with_covs";"slope_without_covs";"slope_with_covs_add_cntry";"slope_without_covs_add_cntry";"n.x";"observed_r";"n.y";"anti.imm";"pro.env"
"131";"FR: Blank";0,129497032319534;0,151451777854483;0,353649580600903;0,393568459230218;2015;0,0666036559750175;27;0;0
"132";"FR: did not vote";0,213740907724991;0,241518011321313;0,43789345600636;0,483634692697047;2015;0,296879818316415;598;0;0
"133";"FR: Don't know";0,157887847860329;0,172912044078595;0,382040396141698;0,41502872545433;2015;0,198820946063921;71;0;0
"134";"FR: EELV (Europe Ecologie Les Verts)";0,17329673158624;0,207947299715811;0,397449279867609;0,450063981091545;2015;0,206351964692619;60;0;1
"135";"FR: FDG (Front de Gauche)";0,172693228249709;0,206184283919551;0,396845776531078;0,448300965295286;2015;0,202888949640794;40;0;0
"136";"FR: FN (Front National)";0,119000267314267;0,128412474390768;0,343152815595636;0,370529155766503;2015;0,244535464943556;121;1;0
"137";"FR: MODEM (Mouvement Démocrate)";0,16264348060507;0,194608977873933;0,386796028886439;0,436725659249668;2015;0,148942117701396;27;0;0
"138";"FR: MPF (Mouvement pour la France)";0,131944552582681;0,145927361513041;0,35609710086405;0,388044042888776;2015;0,199537691341654;20;1;0
"139";"FR: not eligible: age";0,187596069397783;0,216000518895478;0,411748617679151;0,458117200271213;2015;0,258507676704868;126;0;0
"140";"FR: not eligible: citizenship";0,192612376750483;0,220857503751147;0,416764925031852;0,462974185126882;2015;0,319060686109168;63;0;0
"141";"FR: not eligible: other";0,14751365399186;0,168191596275423;0,371666202273229;0,410308277651157;2015;0,20679430428865;57;0;0
"142";"FR: Nouveau Centre";0,120545172603458;0,12620079116139;0,344697720884827;0,368317472537124;2015;-0,127828252906939;15;0;0
"143";"FR: Other";0,182203001347189;0,209336133140701;0,406355549628558;0,451452814516436;2015;0,415923900247476;31;0;0
"144";"FR: Parti Radical de Gauche";0,158387261915918;0,182094226227829;0,382539810197287;0,424210907603564;2015;0,153137887772345;21;0;0
"145";"FR: PR (Parti Radical Valoisien)";0,160543624989328;0,18383188512659;0,384696173270697;0,425948566502324;2015;0,973328526784575;4;0;0
"146";"FR: PS (Parti Socialiste)";0,169826781308162;0,205464854776796;0,393979329589531;0,44758153615253;2015;0,227988484489571;345;0;0
"147";"FR: Refusal";0,149801713548667;0,166521671360669;0,373954261830036;0,408638352736404;2015;0,255323355160711;68;0;0
"148";"FR: UMP (Union pour un Mouvement Populaire)";0,109686043977187;0,127453203942125;0,333838592258555;0,36956988531786;2015;0,138979785729848;301;1;0
"149";"GB: Conservative";0,162061869468638;0,184561705406175;0,352256307442416;0,3988585914751;1876;0,257964883832361;491;1;0
"150";"GB: Democratic Unionist Party (nir)";0,14046478323335;0,159597031208241;0,330659221207129;0,373893917277166;1876;0,264442942673972;7;1;0
"151";"GB: did not vote";0,122286295891884;0,135326604570975;0,312480733865663;0,3496234906399;1876;0,16834812269953;406;0;0
"152";"GB: Don't know";0,13241193371213;0,151438052378317;0,322606371685909;0,365734938447242;1876;-0,0393163833243241;24;0;0
"153";"GB: Green Party";0,186269182768374;0,221882709355004;0,376463620742152;0,436179595423929;1876;0,291175415516022;38;0;1
"154";"GB: Labour";0,159677952065949;0,189495139786055;0,349872390039728;0,403792025854979;1876;0,243700961529894;427;0;0
"155";"GB: Liberal Democrat";0,204714534643635;0,235733945318886;0,394908972617414;0,450030831387811;1876;0,415290034538525;111;0;0
"156";"GB: not eligible: age";0,148106161173242;0,173367848583494;0,338300599147021;0,387664734652419;1876;0,0995140927579099;55;0;0
"157";"GB: not eligible: citizenship";0,181270260927111;0,206662193881804;0,371464698900889;0,420959079950729;1876;0,436751296116137;36;0;0
"158";"GB: not eligible: other";0,129176460155097;0,146515117609922;0,319370898128876;0,360812003678847;1876;-0,519977756259035;7;0;0
"159";"GB: Other";0,147362525384369;0,179411199655245;0,337556963358147;0,393708085724169;1876;0,136626171579902;40;0;0
"160";"GB: Plaid Cymru";0,188904888473296;0,217981377176423;0,379099326447074;0,432278263245348;1876;0,753555777234464;13;0;0
"161";"GB: Refusal";0,166018899919959;0,197337044762069;0,356213337893738;0,411633930830994;1876;0,384421617592582;63;0;0
"162";"GB: Scottish National Party";0,187092252917856;0,207673620771855;0,377286690891635;0,42197050684078;1876;0,390818881747003;52;0;0
"163";"GB: UK Independence Party";0,0707497353993102;0,0749752522827085;0,260944173373089;0,289272138351633;1876;-0,00715676514761223;106;1;0
"164";"HU: did not vote";0,16772676396523;0,191108441512185;0,272384066594581;0,312461478561604;1391;0,102058844655162;328;0;0
"165";"HU: Don't know";0,147708032755727;0,173840022622065;0,252365335385078;0,295193059671484;1391;0,0108253175473054;22;0;0
"166";"HU: Fidesz - KDNP (Fidesz – Magyar Polgári Szövetség Keresztényd)";0,242254499158783;0,258278443101523;0,346911801788134;0,379631480150942;1391;0,199343901787292;518;1;0
"167";"HU: Jobbik (Jobbik Magyarországért Mozgalom)";0,126364183227547;0,140297709548795;0,231021485856898;0,261650746598214;1391;0,0530010010986119;88;1;0
"168";"HU: LMP (Lehet Más A Politika)";0,164072407156536;0,192120350280517;0,268729709785887;0,313473387329936;1391;0,00284090909090921;18;0;1
"169";"HU: MSZP-Együtt-DK-PM-MLP (Kormányváltók)";0,0898965224715225;0,11093477608047;0,194553825100873;0,232287813129889;1391;-0,0994864007540682;151;0;0
"170";"HU: not eligible: age";0,157290008398226;0,188123250486124;0,261947311027577;0,309476287535542;1391;0,106671568585955;53;0;0
"171";"HU: not eligible: citizenship";0,142474599181718;0,162259826491508;0,247131901811069;0,283612863540926;1391;NA;1;0;0
"172";"HU: not eligible: other";0,152769173451807;0,177798077194167;0,257426476081157;0,299151114243586;1391;0,143537755894138;31;0;0
"173";"HU: Other";0,152471280934118;0,170986122712973;0,257128583563469;0,292339159762392;1391;0,211702449609985;8;0;0
"174";"HU: Refusal";0,0967508313180808;0,12456554396902;0,201408133947432;0,245918581018439;1391;-0,000730632063342516;173;0;0
"175";"IE: Anti-Austerity Alliance - People Before Profit";0,145979257498294;0,171006536132836;0,296501397908998;0,349151963755565;2676;-0,137763450414701;15;0;0
"176";"IE: did not vote";0,145648877972075;0,163418844866463;0,296171018382779;0,341564272489192;2676;0,186944754423276;585;0;0
"177";"IE: Don't know";0,185365663306503;0,207663353446876;0,335887803717206;0,385808781069605;2676;0,417254800309587;47;0;0
"178";"IE: Fianna Fáil";0,108644724218146;0,126408613229977;0,259166864628849;0,304554040852706;2676;0,136343480640507;483;0;0
"179";"IE: Fine Gael";0,13079072544759;0,165484697749727;0,281312865858294;0,343630125372456;2676;0,199151015741307;591;0;0
"180";"IE: Green Party";0,16283154245643;0,19462566261563;0,313353682867133;0,372771090238359;2676;0,182197528158786;26;0;1
"181";"IE: Labour";0,201595428013197;0,225555312930525;0,3521175684239;0,403700740553254;2676;0,379401338139041;90;0;0
"182";"IE: not eligible: age";0,139181377727898;0,16047021361562;0,289703518138601;0,338615641238349;2676;0,0790932026499258;33;0;0
"183";"IE: not eligible: citizenship";0,118375281907377;0,14403420504752;0,268897422318081;0,322179632670249;2676;0,0608984066214698;117;0;0
"184";"IE: not eligible: other";0,161109648694347;0,184472050403503;0,31163178910505;0,362617478026232;2676;0,177344472955707;50;0;0
"185";"IE: Other";0,153330559132046;0,175452913965136;0,303852699542749;0,353598341587865;2676;0,196986737928447;350;0;0
"186";"IE: Refusal";0,159532878721163;0,185408198706533;0,310055019131866;0,363553626329262;2676;0,311771150844303;86;0;0
"187";"IE: Sinn Féin";0,167218956340703;0,182118498961311;0,317741096751406;0,36026392658404;2676;0,221537325834396;203;0;0
"188";"IT: did not vote";0,130203440122707;0,157288364608686;0,279178965634978;0,325428266464933;2317;0,146134887305449;553;0;0
"189";"IT: Don't know";0,123917571110115;0,145602102904263;0,272893096622385;0,313742004760511;2317;0,115057691004283;139;0;0
